sal_code,sal_name,population,median_weekly_rent,crime_incidents,crime_rate,train_station,num_stops,transport_frequency
SAL20414,Burkes Bridge,14,0,2,0.14285714285714285,0,0,0
SAL20415,Burkes Flat,20,0,1,0.05,0,0,0
SAL20416,Burnbank,47,165,0,0.0,0,0,0
SAL20417,Burnewang,37,340,7,0.1891891891891892,0,0,0
SAL20418,Burnley,794,440,128,0.16120906801007556,1,8,7204
SAL20419,Burnside,5800,400,206,0.035517241379310345,0,32,448
SAL20420,Burnside Heights,6377,411,156,0.024462913595734673,0,3,168
SAL20421,Burramboot,36,0,0,0.0,0,0,0
SAL20422,Burramine,241,253,19,0.07883817427385892,0,1,100
SAL20423,Burramine South,24,291,1,0.041666666666666664,0,0,0
